wtd_mean_atomic_radius,wtd_gmean_ThermalConductivity,wtd_gmean_FusionHeat,wtd_gmean_fie,wtd_gmean_ElectronAffinity,wtd_entropy_ThermalConductivity,wtd_entropy_FusionHeat,wtd_entropy_ElectronAffinity,wtd_entropy_Density,std_FusionHeat,std_fie,std_atomic_radius,std_atomic_mass,range_Valence,range_FusionHeat,range_ElectronAffinity,range_Density,mean_Valence,mean_ThermalConductivity,mean_ElectronAffinity,mean_Density,gmean_ThermalConductivity,gmean_FusionHeat,gmean_fie,gmean_atomic_mass,entropy_ThermalConductivity,entropy_ElectronAffinity,critical_temp
105.514285714286,.62197948704754,1.04098598567486,938.016780052204,99.4146820543113,.262848266362233,.994998193254128,.787381690763223,.814598190091683,4.59906411675245,323.811807806633,75.2375404967494,51.9688277861034,1,12.878,127.05,8958.571,2.25,107.756645,81.8375,4654.35725,7.06248773046785,3.47947484936327,718.15289995213,66.3615924315719,.308147989812345,1.15968659338134,29
106.342857142857,.624877733754845,1.04454467078021,937.025572960086,97.7747186271033,.272819938850094,1.04496953590973,.787396182520174,.859810869291435,4.59906411675245,323.811807806633,75.2375404967494,51.9688277861034,1,12.878,127.05,8958.571,2.25,107.756645,81.8375,4654.35725,7.06248773046785,3.47947484936327,718.15289995213,66.3615924315719,.308147989812345,1.15968659338134,23
104.371428571429,.629441022509672,1.03921119227177,940.294344338809,98.4119621279586,.283412116654505,.96403104867923,.777657155958259,.769628332487839,4.59906411675245,314.505965762178,65.5796271718588,44.2894585275144,1,12.878,135.97,8958.571,2.25,112.006645,79.6075,4434.35725,8.33981834610162,3.47947484936327,734.219624171273,59.3100961333418,.403693221013522,1.09667176877521,36
104.542857142857,.633909649832865,1.04098598567486,940.391698971013,96.9983566293431,.295609030415422,.994998193254128,.775687763187265,.791445302359929,4.59906411675245,314.505965762178,65.5796271718588,44.2894585275144,1,12.878,135.97,8958.571,2.25,112.006645,79.6075,4434.35725,8.33981834610162,3.47947484936327,734.219624171273,59.3100961333418,.403693221013522,1.09667176877521,31
104.885714285714,.642942302860948,1.04454467078021,940.586438475689,94.231769744878,.316851791320191,1.04496953590973,.771173465548882,.830562563362013,4.59906411675245,314.505965762178,65.5796271718588,44.2894585275144,1,12.878,135.97,8958.571,2.25,112.006645,79.6075,4434.35725,8.33981834610162,3.47947484936327,734.219624171273,59.3100961333418,.403693221013522,1.09667176877521,33
107.457142857143,.529257783997972,.969316226167975,949.165190419892,81.0365778038564,.392436442665889,1.18275925378969,.732581987617265,1.17217384651161,4.50883211486079,303.956645592756,67.4317432668028,64.4590043168734,1,12.878,141,13532.571,2.2,87.865316,65.77,6430.2858,7.29426913845031,3.20020690378453,768.233304792613,82.7933193768878,.396023541769484,1.18353408859616,26
104.971428571429,.619734632330547,1.03525111582814,938.745412527433,101.166397739874,.567706107876637,1.07309384625263,.83866646563365,.914802177066343,4.47336265464807,290.183029138508,67.321319060161,47.0946331703134,2,12.878,127.05,10488.571,2,172.205316,90.89,5821.4858,16.0642278788044,4.40379049753476,720.605510513725,73.1327872225065,.847404163195705,1.42799655342352,27
104.028571428571,.620598048058198,1.03567067792642,940.099665309456,101.301276893401,.253800054033121,.882547321448082,.780834108753836,.718623049021766,4.59906411675245,314.505965762178,65.5796271718588,44.2894585275144,1,12.878,135.97,8958.571,2.25,112.006645,79.6075,4434.35725,8.33981834610162,3.47947484936327,734.219624171273,59.3100961333418,.403693221013522,1.09667176877521,14.8
104.2,.625003895937664,1.03743942474191,940.196999785305,99.8461688055545,.269729743377241,.927479442031317,.779396614442836,.745714935123301,4.59906411675245,314.505965762178,65.5796271718588,44.2894585275144,1,12.878,135.97,8958.571,2.25,112.006645,79.6075,4434.35725,8.33981834610162,3.47947484936327,734.219624171273,59.3100961333418,.403693221013522,1.09667176877521,30
104.714285714286,.638410001542362,1.04276381011884,940.489063682958,95.605056391008,.30668395959769,1.02171494552375,.773520720351958,.811663100919864,4.59906411675245,314.505965762178,65.5796271718588,44.2894585275144,1,12.878,135.97,8958.571,2.25,112.006645,79.6075,4434.35725,8.33981834610162,3.47947484936327,734.219624171273,59.3100961333418,.403693221013522,1.09667176877521,23.3
104.885714285714,.642942302860948,1.04454467078021,940.586438475689,94.231769744878,.316851791320191,1.04496953590973,.771173465548882,.830562563362013,4.59906411675245,314.505965762178,65.5796271718588,44.2894585275144,1,12.878,135.97,8958.571,2.25,112.006645,79.6075,4434.35725,8.33981834610162,3.47947484936327,734.219624171273,59.3100961333418,.403693221013522,1.09667176877521,18.2
104.457142857143,.631671384637255,1.04009821041639,940.343020395009,97.7026028265426,.289668596117187,.980111149480159,.776698690541691,.780760578032694,4.59906411675245,314.505965762178,65.5796271718588,44.2894585275144,1,12.878,135.97,8958.571,2.25,112.006645,79.6075,4434.35725,8.33981834610162,3.47947484936327,734.219624171273,59.3100961333418,.403693221013522,1.09667176877521,37.5
