2005,1," 10,827 "
,2," 12,049 "
,3," 18,298 "
,4," 17,834 "
,5," 16,480 "
,6," 16,690 "
,7," 15,389 "
,8," 13,031 "
,9," 17,849 "
,10," 16,662 "
,11," 16,458 "
,12," 15,280 "
2006,1," 12,767 "
,2," 15,805 "
,3," 22,685 "
,4," 18,100 "
,5," 19,699 "
,6," 19,948 "
,7," 17,719 "
,8," 15,523 "
,9," 20,987 "
,10," 19,355 "
,11," 17,190 "
,12," 17,245 "
2007,1," 14,865 "
,2," 17,735 "
,3," 29,156 "
,4," 23,179 "
,5," 22,767 "
,6," 21,879 "
,7," 19,753 "
,8," 16,723 "
,9," 21,623 "
,10," 22,062 "
,11," 19,560 "
,12," 17,489 "
2008,1," 16,788 "
,2," 20,063 "
,3," 32,544 "
,4," 25,563 "
,5," 20,791 "
,6," 18,710 "
,7," 16,326 "
,8," 12,067 "
,9," 17,331 "
,10," 15,030 "
,11," 12,049 "
,12," 11,243 "
2009,1," 7,709 "
,2," 13,009 "
,3," 18,459 "
,4," 15,516 "
,5," 12,540 "
,6," 13,586 "
,7," 11,855 "
,8," 10,666 "
,9," 14,437 "
,10," 14,366 "
,11," 14,375 "
,12," 13,913 "
2010,1," 10,551 "
,2," 12,357 "
,3," 30,712 "
,4," 23,738 "
,5," 18,163 "
,6," 17,131 "
,7," 13,856 "
,8," 12,998 "
,9," 17,592 "
,10," 18,740 "
,11," 19,411 "
,12," 18,150 "
2011,1," 14,778 "
,2," 24,326 "
,3," 44,803 "
,4," 30,389 "
,5," 21,376 "
,6," 18,488 "
,7," 16,132 "
,8," 14,817 "
,9," 19,393 "
,10," 18,639 "
,11," 18,469 "
,12," 18,955 "
2012,1," 14,199 "
,2," 24,637 "
,3," 33,000 "
,4," 26,674 "
,5," 23,006 "
,6," 20,597 "
,7," 17,100 "
,8," 14,625 "
,9," 17,379 "
,10," 18,068 "
,11," 18,025 "
,12," 17,719 "
2013,1," 14,391 "
,2," 16,986 "
,3," 36,190 "
,4," 29,285 "
,5," 25,487 "
,6," 22,105 "
,7," 18,679 "
,8," 16,729 "
,9," 20,146 "
,10," 21,055 "
,11," 20,270 "
,12," 20,752 "
2014,1," 16,396 "
,2," 23,346 "
,3," 38,932 "
,4," 29,795 "
,5," 23,326 "
,6," 23,922 "
,7," 21,888 "
,8," 17,416 "
,9," 23,041 "
,10," 21,818 "
,11," 19,810 "
,12," 20,592 "
2015,1," 17,063 "
,2," 17,772 "
,3," 33,879 "
,4," 27,413 "
,5," 23,361 "
,6," 24,053 "
,7," 20,717 "
,8," 16,870 "
,9," 21,780 "
,10," 19,271 "
,11," 18,590 "
,12," 20,243 "
2016,1," 17,017 "
,2," 20,788 "
,3," 36,067 "
,4," 28,155 "
,5," 25,209 "
,6," 24,634 "
,7," 19,853 "
,8," 19,571 "
,9," 23,312 "
,10," 21,928 "
,11," 21,697 "
,12," 22,563 "
2017,1," 21,486 "
,2," 32,938 "
,3," 45,061 "
,4," 34,248 "
,5," 31,739 "
,6," 30,315 "
,7," 25,046 "
,8," 23,285 "
,9," 26,721 "
